鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
士林區,房地(土地+建物),臺北市士林區德行西路５０號十一樓之１１,9.77,住,,,1150110,土地3建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970502,49.510000000000005,1,0,1,有,有,16600000,335286,,0.0,0,陽台外推；,RPTNMLKLLHLGFEA77DA,26.6,1.3,4.08,有,
大安區,房地(土地+建物),臺北市大安區仁愛路四段６８號十三樓之９,4.84,住,,,1150110,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0661212,50.83,3,0,1,有,有,18800000,369860,,0.0,0,,RPTOMLLMLHLGFFA18DA,43.43,0.0,0.0,有,
大安區,房地(土地+建物),臺北市大安區信義路四段９６號十二樓之１,6.05,商,,,1150114,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781012,90.75999999999999,2,2,2,有,有,26000000,286470,,0.0,0,陽台外推；,RPWNMLMJMHLGFFA28DA,53.64,5.03,12.79,有,
大安區,房地(土地+建物),臺北市大安區復興南路二段７８巷３０弄２號五樓之２,26.6,住,,,1150106,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760707,153.26,3,2,2,有,有,54580000,356127,,0.0,0,陽台外推；其他增建；,RPPOMLKKMHLGFFA57DA,101.15,4.65,11.21,有,
文山區,土地,木柵段二小段714地號,62.25,住,,,1150129,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13181437,211750,,0.0,0,未登記建物；,RPTNMLNKMHLGFAA67DA,0.0,0.0,0.0,無,
中正區,房地(土地+建物)+車位,臺北市中正區徐州路１０號八樓,21.21,住,,,1150105,土地1建物1車位2,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020125,124.09,2,2,2,有,有,43180000,374035,塔式車位,20.41,4400000,陽台外推；夾層；其他增建；,RPTNMLKLLHLGFBA47DA,48.83,5.81,9.48,有,099
萬華區,房地(土地+建物),臺北市萬華區漢口街二段８８號十五樓之３,4.89,商,,,1150126,土地1建物1車位0,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1121019,65.58,1,1,1,有,有,18670000,284690,,0.0,0,,RPPNMLLMLHLGFBA27DA,35.89,0.0,3.0,有,
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１３５號十四樓之２,5.06,商,,,1150120,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140428,95.78,2,1,1,有,有,23241000,338356,坡道平面,35.79,2943000,,RPPNMLOKMHLGFBA47DA,36.72,0.0,3.94,有,
大同區,房地(土地+建物),臺北市大同區重慶北路三段２０５巷３２之４號,32.0,住,,,1150121,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601108,106.32,4,2,1,有,無,16200000,152370,,0.0,0,其他增建為:凸窗、鐵窗、廚房臥室外推其他增建；,RPPOMLOKMHLGFBA57DA,106.32,0.0,0.0,無,
中山區,房地(土地+建物)+車位,臺北市中山區明水路３９７巷７弄４６號三樓之１,19.8,住,,,1150124,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810618,92.91,2,2,1,有,有,23080000,334471,坡道平面,31.38,2500000,陽台外推；其他增建；,RPOOMLKKLHLGFCA07DA,59.76,1.2,4.02,有,100
內湖區,房地(土地+建物),臺北市內湖區環山路一段１３６巷２２弄１號,67.43,住,,,1150110,土地6建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670811,136.11,5,2,2,有,有,26200000,192491,,0.0,0,其他增建；,RPTOMLQKLHLGFCA18DA,122.63,13.48,0.0,無,
松山區,房地(土地+建物),臺北市松山區八德路二段３７４號五樓之７,5.19,商,,,1150118,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0701218,55.55,1,2,0,有,有,16080000,289469,,0.0,0,陽台外推；,RPTPMLMLJHLGFDA87DA,37.96,0.0,5.59,有,
松山區,房地(土地+建物),臺北市松山區民生東路五段１７７巷６弄９號四樓,36.03,都市：其他:住宅用地(民生社區特定專用區)。,,,1150102,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640626,102.5,3,2,2,有,無,22800000,222439,,0.0,0,,RPPNMLLKLHLGFDA27DA,102.5,0.0,0.0,無,
南港區,房地(土地+建物)+車位,臺北市南港區興南街３號五樓,48.68,工,,,1150127,土地1建物1車位2,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950621,238.12,0,0,2,有,有,37000000,191240,坡道平面,76.02,6000000,其他增建；,RPXNMLNKLHLGFDA28DA,105.39,0.0,10.85,有,
松山區,房地(土地+建物),臺北市松山區健康路１５巷５２號,26.83,住,,,1150131,土地3建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900320,121.67999999999999,2,2,1,有,有,31500000,258876,,0.0,0,陽台外推；其他增建；,RPTOMLNKLHLGFDA97DA,62.75,1.12,8.48,有,
松山區,房地(土地+建物)+車位,臺北市松山區三民路８０巷１５號二十二樓,15.3,住,,,1150117,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1140625,155.56,3,2,2,有,有,50850000,390282,坡道平面,34.75,3700000,,RPQOMLLJMHLGFDA47DA,73.07,6.2,5.16,有,
信義區,房地(土地+建物),臺北市信義區松德路１９９號五樓,20.68,住,,,1150130,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710326,99.09,2,2,1,有,有,20150000,203350,,0.0,0,,RPVNMLSJMHLGFDA58DA,62.02,0.0,7.9,有,
大安區,房地(土地+建物),臺北市大安區東豐街２３號七樓,38.65,住,,,1150117,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670315,265.44,4,2,2,有,有,65000000,244876,,0.0,0,頂樓加蓋；其他增建；,RPUNMLPLLHLGFFA48DA,180.62,50.42,4.86,有,
大安區,房地(土地+建物),臺北市大安區浦城街１３巷９號三樓之２,5.53,住,,,1150111,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960913,23.11,1,0,1,有,無,11000000,475984,,0.0,0,,RPSOMLLJMHLGFFA87DA,12.53,2.1,0.0,有,
